city,station,lng,lat
嘉兴,气象观测台,120.944731,30.828974
丽水,云和县环保楼顶,119.5633333,28.1172222
杭州,西溪,120.0633333,30.27472222
绍兴,县政府,120.49313,30.08245
舟山,定海檀枫,122.1222222,30.02027778
台州,临海环保大楼,121.181596,28.870984
台州,楚门中心小学,121.289126873016,28.219019792815
衢州,实验学校,118.876145,28.964613
金华,江东,120.0905556,29.30496389
宁波,文峰小学,121.8861333,29.4781
金华,广厦学院,120.246079,29.298189
金华,北苑,120.0786111,29.33536389
金华,市监测站,119.685611,29.102917
舟山,临城新区,122.1897222,29.99444444
金华,武警支队站,119.653333333333,29.1127777777778
宁波,龙赛医院,121.7166,29.9543
衢州,常山环保大楼,118.5222222,28.89583333
宁波,宁海跃龙站,121.4302778,29.29527778
衢州,衢州学院,118.85525,28.97452778
金华,兰溪八中,119.485661,29.226718
台州,玉环环监站,121.238017380238,28.12389122152
杭州,卧龙桥,120.128,30.246
湖州,城西水厂,120.079708,30.864437
宁波,龙山公园,121.1475,30.0497222
舟山,普陀东港,122.3135,29.95378
杭州,监测楼,119.2762472,29.4744417
台州,台州环保大楼,121.41888,28.654166
绍兴,钟楼站,120.89768,29.50078
嘉兴,南北湖,120.857334,30.378554
丽水,松阳监测楼,119.4741667,28.45055556
绍兴,杨树畈,120.236972222222,29.6921694444444
湖州,安吉科技馆,119.673776597634,30.6382291253408
嘉兴,东湖,121.0185444,30.69216111
金华,东阳市环保大楼,120.241354,29.274666
金华,浦江中学,119.928646,29.436832
温州,柳市,120.8911111,28.0297222
宁波,市环境监测中心,121.5282,29.8647
金华,十五中,119.6474167,29.077
绍兴,绍兴中专,120.573047,29.933613
宁波,溪口政府大楼,121.28269,29.690047
嘉兴,乌镇,120.470075,30.753846
杭州,下沙,120.3480556,30.30583333
宁波,太古小学,121.58974,29.86092
绍兴,上虞市环保局,120.87318,30.02184
宁波,石浦新港小学,121.9341111,29.2002778
台州,实验中学,121.0619444,29.16055556
舟山,岱山环保大楼,122.2202778,30.2669444
杭州,第二中学,119.2876833,29.4612722
丽水,余庄前,119.8794444,28.42305556
嘉兴,振东新六中站,120.56572,30.62255
宁波,实验小学,121.257121,30.175925
台州,仙居县环监站,120.728872,28.855767
杭州,千岛湖,119.0315,29.633
台州,金清,121.395356,28.560033
丽水,遂昌监测楼,119.272551,28.593203
绍兴,城东开发委,120.609511,29.989283
丽水,莲都小学,119.934922,28.454307
宁波,万里学院,121.55972222222,29.820833333333
金华,武义县环保大楼,119.8147222,28.90777778
宁波,钱湖水厂,121.6333,29.7733
金华,兰溪市监测站,119.466263,29.212485
杭州,第四中学,119.6947222,30.23194444
衢州,环保大楼,118.8713056,28.94041667
绍兴,盖北站,120.8917,30.13277
嘉兴,高级中学,120.945539,30.501657
嘉兴,硖石街道,120.713139,30.511474
绍兴,袍江站,120.617462,30.078374
湖州,仁皇山新区,120.091724,30.893198
金华,实验中学,119.883585,29.46314
嘉兴,监测大楼,120.678291,30.523822
衢州,江山环保大楼,118.635,28.74343
丽水,信访大楼,120.0855556,28.66277778
金华,县政府大楼,119.8122222,28.88916667
丽水,青田二中,120.2836111,28.14527778
杭州,镇二中,119.9518,30.0469
湖州,安吉城东,119.6952778,30.59805556
杭州,城厢镇,120.2697222,30.18194444
湖州,吴兴区站,120.184361,30.859583
嘉兴,果园桥水厂,120.54114,30.65065
舟山,嵊泗菜园,122.4458333,30.7266667
丽水,建设大楼,120.288333333333,28.1363888888889
台州,巾山实验小学,121.1140945,28.840238
衢州,钱江源,118.3125,29.4294444
湖州,丰庆站,119.9880556,30.54833333
台州,三门环监站,121.375923,29.116775
宁波,三江中学,121.55824,29.88781
宁波,宁海城南站,121.4202778,29.28805556
绍兴,东湖中学,120.643444,29.993049
湖州,永安站,119.9733333,30.53638889
杭州,余杭镇,119.93989,30.260884
杭州,和睦小学,120.1197222,30.31194444
杭州,滨江,120.210833,30.21
湖州,龙山新区,119.908333,31.0208333
绍兴,丽湖小区,120.8172222,29.56611111
杭州,云栖,120.0883333,30.18083333
衢州,人民医院,118.6275,28.72728
杭州,朝晖五区,120.171,30.288
台州,温岭环监站,121.3655556,28.37555556
温州,乐成,120.9658639,28.1209361
金华,磐安县环保大楼,120.4383333,29.0608333
金华,西城供电所,120.0212,28.9028
衢州,气象局,118.4047222,29.1341667
嘉兴,清河小学,120.743647,30.777969
丽水,和平水厂,119.4797222,28.45138889
绍兴,树下王,120.548333333333,30.0002777777778
丽水,卫生大楼,120.065,28.65166667
杭州,监测站,119.9589,30.051
宁波,区环保大楼,121.8401,29.9085
衢州,工业园区,119.212094,29.081875
台州,天台县环保大楼,121.0052778,29.14833333
嘉兴,嘉兴学院,120.730691,30.747405
台州,黄岩环保大楼,121.280823,28.659261
丽水,监测站大楼,119.9187,28.447794
杭州,浙江农大,120.193,30.268
丽水,环保大楼,119.1328,28.080022
宁波,奉化环保大楼,121.409655,29.664562
绍兴,运管所站,120.217123,29.728868
丽水,粮食大楼,119.126791,28.073028
杭州,临平镇,120.300556,30.418333
宁波,慈溪环保大楼,121.272227,30.161677
舟山,舟山普陀山,122.3738889,29.98166667
温州,瓯北,120.6586111,28.0405556
台州,之江中学,121.3872222,28.36722222
宁波,七里浦水厂,121.12,30.045
绍兴,城东站,120.91483,29.49055
杭州,桐庐江南,119.690568,29.796136
杭州,市府大楼,119.7186111,30.23666667
湖州,职教中心,119.898056,31.014444
衢州,图书馆大楼,118.51111111111,28.898055555556
绍兴,柯岩,120.47196,30.04769
台州,新生中学,120.477356,28.737334
台州,路桥田洋王,121.3767778,28.57736111
绍兴,东浦镇政府,120.535708,30.052161
嘉兴,环保大楼,120.945469,30.524067
嘉兴,南湖区残联,120.7630556,30.75666667
衢州,建设大楼,119.172467,29.036306
绍兴,嵊州市环保大楼,120.8222222,29.59861111
温州,上塘,120.6922222,28.1566667
杭州,桐庐江北,119.671111,29.803966
杭州,淳安环保大楼,119.053274953373,29.5969897835574
宁波,市政管理站,121.6189,29.899
金华,永康市监测站,120.0317,28.8911
嘉兴,陆家桥村,120.9952778,30.72888889
丽水,缙云中学,120.0813,28.659733
金华,武警支队,119.653333333333,29.1127777777778
绍兴,湖塘中学,120.4372,30.0525
绍兴,城南站,120.892222222222,29.99
金华,磐安县国税大楼,120.43805,29.05136
宁波,万里国际学校,121.6189,29.899
虹口区,虹口凉城,121.466728,31.298296
杨浦区,杨浦四漂,121.523003,31.260136
黄浦区,人民广场,121.469543,31.234537
徐汇区,徐家汇,121.441299,31.193329
金山区,金山新城,121.329048,30.718433
崇明县,崇明上实东滩,121.90815,31.521521
嘉定区,嘉定监测站,121.278603,31.37961
黄浦区,黄浦瑞金,121.462532,31.210186
奉贤区,奉贤南桥新城,121.541656,30.92856
宝山区,杨行站,121.43367,31.366283
奉贤区,奉贤奉浦,121.437477,31.008177
静安区,静安市北高新,121.461655,31.235674
奉贤区,奉贤海湾,121.56321,30.859665
普陀区,普陀监测站,121.406082,31.236645
金山区,金山廊下,121.188637,30.792231
静安区,静安监测站,121.428192,31.226849
嘉定区,嘉定天华学院,121.193596,31.419996
浦东新区,浦东周浦,121.570732,31.116537
虹口区,虹口嘉兴,121.486,31.258518
徐汇区,徐汇上师大,121.413818,31.170113
宝山区,庙行,121.445076,31.321625
浦东新区,浦东监测站,121.552727,31.236856
浦东新区,浦东张江,121.584099,31.192503
杨浦区,杨浦新江湾城,121.51786,31.331097
金山区,金山枫泾,121.005981,30.890526
奉贤区,奉贤南桥,121.454323,30.905537
杨浦区,杨浦监测站,121.536255,31.299585
长宁区,长宁华阳,121.419312,31.218098
长宁区,长宁仙霞,121.384399,31.207914
徐汇区,徐汇华泾,121.451775,31.119724
黄浦区,卢湾师专附小,121.477821,31.204191
宝山区,罗店,121.342049,31.417072
静安区,静安七一中学,121.431824,31.236553
浦东新区,浦东惠南,121.74514,31.050184
长宁区,长宁程桥,121.36499,31.207968
普陀区,普陀桃浦,121.358879,31.280832
崇明县,崇明现代农业园区,121.403191,31.623533
嘉定区,嘉定方泰,121.212669,31.318129
崇明县,崇明绿华,121.216049,31.764362
浦东新区,浦东川沙,121.691917,31.194893
静安区,静安和田中学,121.458115,31.243185
金山区,金山朱泾,121.16217,30.900785
闵行区,浦江,121.501778,31.090628
闵行区,莘庄,121.365746,31.123154
闵行区,江川,121.402855,31.008627
松江区,松江区,121.223335,31.034357
松江区,松江图书馆站,121.218887,31.037754
松江区,松江岳阳站,121.24028,31.007481
松江区,松江中山站,121.28875,31.054878
青浦区,青浦夏阳,121.125504,31.156099
青浦区,青浦盈浦,121.103752,31.145611
青浦区,青浦朱家角,121.0476,31.1173
崇明县,崇明森林公园,121.47901,31.68948
崇明区,崇明森林公园,121.47901,31.68948
崇明区,崇明城桥,121.39697,31.6217
松江区,松江中辰路,121.26646,31.05164
宝山区,宝山杨行,121.4456,31.393253
宝山区,宝山罗店,121.34085,31.41151
宝山区,宝山庙行,121.4261,31.32259
闵行区,闵行莘庄,121.3663,31.1158
闵行区,闵行江川,121.4115,31.0065
闵行区,闵行浦江,121.4996,31.0739
崇明县,崇明城桥,121.39697,31.6217
